sessionId,vis,reported,truth,error
jxu6zypaqp04nxqzp1w12v,Bar,40,35.87393294,2.087825017
jxu6zypaqp04nxqzp1w12v,Pie,33,39.89400614,2.811266765
jxu6zypaqp04nxqzp1w12v,Pie,30,53.93802866,4.588746331
jxu6zypaqp04nxqzp1w12v,Bubble,80,67.83058667,3.619930988
jxu6zypaqp04nxqzp1w12v,Pie,55,74.41617552,4.288445352
jxu6zypaqp04nxqzp1w12v,Bar,84,73.50221822,3.409089708
jxu6zypaqp04nxqzp1w12v,Bubble,60,68.87311628,3.16962301
jxu6zypaqp04nxqzp1w12v,Bubble,80,51.63846514,4.832208236
jxu6zypaqp04nxqzp1w12v,Bubble,80,79.41387135,0
jxu6zypaqp04nxqzp1w12v,Bubble,35,31.03706305,2.031372946
jxu6zypaqp04nxqzp1w12v,Bar,99,98.5507219,0
jxu6zypaqp04nxqzp1w12v,Pie,99,77.03003215,4.465645927
jxu6zypaqp04nxqzp1w12v,Bar,90,92.13251961,1.174738517
jxu6zypaqp04nxqzp1w12v,Bar,51,51.61857955,0
jxu6zypaqp04nxqzp1w12v,Bubble,30,33.55940544,1.881431826
jxu6zypaqp04nxqzp1w12v,Pie,90,96.7007043,2.770977916
jxu6zypaqp04nxqzp1w12v,Pie,30,49.57220048,4.299918692
jxu6zypaqp04nxqzp1w12v,Bar,55,39.9676755,3.921943213
jxu6zypaqp04nxqzp1w12v,Bar,35,32.57328926,1.351464795
jxu6zypaqp04nxqzp1w12v,Bubble,80,75.50623634,2.207506725
jxu6zypaqp04nxqzp1w12v,Bar,50,46.5050411,1.855973318
jxu6zypaqp04nxqzp1w12v,Bubble,30,27.87463412,1.170159583
jxu6zypaqp04nxqzp1w12v,Pie,20,32.8339121,3.695872704
jxu6zypaqp04nxqzp1w12v,Pie,60,65.85260057,2.579566499
jxu6zypaqp04nxqzp1w12v,Bar,50,42.7563958,2.881391362
jxu6zypaqp04nxqzp1w12v,Pie,15,38.02757886,4.533100993
jxu6zypaqp04nxqzp1w12v,Pie,35,55.71847409,4.381523854
jxu6zypaqp04nxqzp1w12v,Bar,97,90.42922995,2.743249982
jxu6zypaqp04nxqzp1w12v,Bubble,90,74.19784823,3.993416389
jxu6zypaqp04nxqzp1w12v,Pie,50,72.42808309,4.495252764
jxu6zypaqp04nxqzp1w12v,Pie,87,81.45185385,2.50414903
